,id,title,subtitle,claps,responses,publication,date,link,tokenized,popular,year
4895,4896,Octave Convolution: Taking a step back and looking at inputs ?,"Introduction, brief explanation and…",27,1,Towards Data Science,2019-07-19,https://towardsdatascience.com/octave-convolution-taking-a-step-back-and-at-looking-inputs-235c313a362c?source=collection_archive---------18-----------------------,"[('octave', 'JJ'), ('convolution', 'NN'), ('taking', 'VBG'), ('step', 'NN'), ('back', 'RB'), ('looking', 'VBG'), ('inputs', 'NNS')]",0,2019
4508,4509,3 Problems with Data Science Education…and how you can fix them.,,111,0,Towards Data Science,2020-04-19,https://towardsdatascience.com/3-problems-with-data-science-education-and-how-you-can-fix-them-d904a9a11c3a?source=collection_archive---------41-----------------------,"[('3', 'CD'), ('problems', 'NNS'), ('data', 'NNS'), ('science', 'NN'), ('education…and', 'NN'), ('fix', 'NN')]",1,2020
743,744,5 reasons why jupyter notebooks suck,,913,21,Towards Data Science,2018-03-24,https://towardsdatascience.com/5-reasons-why-jupyter-notebooks-suck-4dc201e27086?source=collection_archive---------0-----------------------,"[('5', 'CD'), ('reasons', 'NNS'), ('jupyter', 'NN'), ('notebooks', 'NNS'), ('suck', 'VBD')]",1,2018
654,655,Spark in Docker in Kubernetes: A Practical Approach for Scalable NLP,Natural Language Processing…,280,2,Towards Data Science,2020-01-18,https://towardsdatascience.com/spark-in-docker-in-kubernetes-a-practical-approach-for-scalable-nlp-9dd6ef47c31e?source=collection_archive---------12-----------------------,"[('spark', 'NN'), ('docker', 'NN'), ('kubernetes', 'VBZ'), ('practical', 'JJ'), ('approach', 'NN'), ('scalable', 'JJ'), ('nlp', 'NN')]",1,2020
17396,17397,Should you use nested functions to encapsulate logic?,,0,0,Towards Data Science,2020-11-17,https://towardsdatascience.com/sometimes-simple-questions-lead-you-to-an-interesting-trail-of-thoughts-22215ff26a95?source=collection_archive---------56-----------------------,"[('use', 'NN'), ('nested', 'VBD'), ('functions', 'NNS'), ('encapsulate', 'VBP'), ('logic', 'NN')]",0,2020
14894,14895,Schedule Your Python Scripts On Windows Platform,Productivity At Your Fingertips,5,0,Towards Data Science,2020-10-02,https://towardsdatascience.com/schedule-your-python-scripts-on-windows-platform-4c0b756b81e9?source=collection_archive---------39-----------------------,"[('schedule', 'NN'), ('python', 'NN'), ('scripts', 'NNS'), ('windows', 'VBZ'), ('platform', 'NN')]",0,2020
1261,1262,"<strong class=""markup--strong markup--h3-strong"">Random thoughts on my first ML deployment</strong>",5 things I didn’t know six months ago and that’s better not…,502,1,Towards Data Science,2019-03-03,https://towardsdatascience.com/random-thoughts-on-my-first-ml-deployment-8e8c89df047f?source=collection_archive---------11-----------------------,"[('strong', 'JJ'), ('class=', 'NN'), (""''"", ""''""), ('markup', 'NN'), ('--', ':'), ('strong', 'JJ'), ('markup', 'NN'), ('--', ':'), ('h3-strong', 'JJ'), (""''"", ""''""), ('random', 'NN'), ('thoughts', 'NNS'), ('first', 'RB'), ('ml', 'VBP'), ('deployment', 'NN'), ('/strong', 'NN')]",1,2019
9632,9633,Visualizing AI startups in drug discovery,Data analysis and an interactive dashboard of AI startups in drug discovery,14,0,Towards Data Science,2020-07-02,https://towardsdatascience.com/visualizing-ai-startups-in-drug-discovery-cb274eea2792?source=collection_archive---------53-----------------------,"[('visualizing', 'VBG'), ('ai', 'JJ'), ('startups', 'NNS'), ('drug', 'NN'), ('discovery', 'NN')]",0,2020
7700,7701,3 Reasons why you should be Blogging as an (Aspiring) Data Scientist,,282,5,Towards Data Science,2019-10-19,https://towardsdatascience.com/3-reasons-why-you-should-be-blogging-as-an-aspiring-data-scientist-99741da62cbe?source=collection_archive---------25-----------------------,"[('3', 'CD'), ('reasons', 'NNS'), ('blogging', 'VBG'), ('aspiring', 'VBG'), ('data', 'NNS'), ('scientist', 'NN')]",1,2019
6544,6545,"Street Fighter II is Hard, So I Trained an AI To Beat It for Me",Train an Artificial Neural Network to…,34,2,Towards Data Science,2020-05-20,https://towardsdatascience.com/street-fighter-ii-is-hard-so-i-trained-an-ai-to-beat-it-for-me-891dd5fc05be?source=collection_archive---------29-----------------------,"[('street', 'NN'), ('fighter', 'NN'), ('ii', 'JJ'), ('hard', 'RB'), ('trained', 'VBD'), ('ai', 'JJ'), ('beat', 'NN')]",0,2020
2994,2995,VLOOKUP and Array Formulas are Changing The Game,,11,0,Towards Data Science,2019-05-14,https://towardsdatascience.com/vlookup-and-array-formulas-are-changing-the-game-789e1b233c0d?source=collection_archive---------10-----------------------,"[('vlookup', 'NN'), ('array', 'NN'), ('formulas', 'VBD'), ('changing', 'VBG'), ('game', 'NN')]",0,2019
2803,2804,How To Learn Data Science If You’re Broke,,22000,70,Towards Data Science,2018-09-16,https://towardsdatascience.com/how-to-learn-data-science-if-youre-broke-7ecc408b53c7?source=collection_archive---------0-----------------------,"[('learn', 'NN'), ('data', 'NNS'), ('science', 'NN'), ('’', 'CD'), ('broke', 'VBD')]",1,2018
